Quarter,Region,State,Business,Holiday,Holiday2,Holiday3,Tendencia,SerieSinTendencia,SerieSinTendencia2,Mes,Estacionalidad,Residualidad,,,
2006 Q2,Lakes,Victoria,13.167806,96.802805,6.822372,31.729558,97.52960256,-0.72679756,,,,,,,
2006 Q3,Lakes,Victoria,20.079987,71.564144,0,21.995859,100.2008194,-28.63667543,,,,,,,
2006 Q4,Lakes,Victoria,17.615025,65.775209,6.217032,17.928924,98.71642342,-32.94121442,,,,,,,
2007 Q1,Lakes,Victoria,7.969175,153.8841483,3.4389752,30.6305986,95.13991506,58.74423324,,,,,,,
2007 Q2,Lakes,Victoria,2.5520125,146.4000609,2.1508424,26.82643,98.99445433,47.40560657,,,,,,,
2007 Q3,Lakes,Victoria,15.6645741,44.2773968,1.3713604,19.4696182,100.6822986,-56.40490183,,,,,,,
2007 Q4,Lakes,Victoria,11.6664011,57.4593954,9.7559101,44.8562492,100.2137702,-42.75437481,,,,,,,
2008 Q1,Lakes,Victoria,1.855788,183.9275134,2.7609407,37.7318393,97.80557654,86.12193686,,,,,,,
2008 Q2,Lakes,Victoria,3.2157404,94.6912157,0,30.2578326,101.0681364,-6.376920713,,,,,,,
2008 Q3,Lakes,Victoria,24.8308739,67.5721262,0,26.4324636,103.7153849,-36.14325867,,,,,,,
2008 Q4,Lakes,Victoria,14.7821534,87.0713306,0,17.7252085,103.8755871,-16.80425646,,,,,,,
2009 Q1,Lakes,Victoria,3.7653153,134.4056883,0,40.7816037,100.9502465,33.45544183,,,,,,,
2009 Q2,Lakes,Victoria,7.2239357,99.2384351,1.0799163,23.4599178,103.7445407,-4.506105553,,,,,,,
2009 Q3,Lakes,Victoria,0.7599032,63.2711374,4.8988194,12.4557497,107.608843,-44.33770559,,,,,,,
2009 Q4,Lakes,Victoria,14.5899228,100.743042,0,32.5187283,107.2787607,-6.535718693,,,,,,,
2010 Q1,Lakes,Victoria,20.7511402,145.7412031,6.828584,28.7779659,102.0530163,43.68818685,,,,,,,
2010 Q2,Lakes,Victoria,23.573669,111.2728708,1.5273445,30.4487757,102.5891263,8.683744547,,,,,,,
2010 Q3,Lakes,Victoria,9.8709301,68.1782419,0,14.8413081,102.9334639,-34.75522201,,,,,,,
2010 Q4,Lakes,Victoria,13.586348,110.0040394,3.9424352,27.5149908,100.6741742,9.32986518,,,,,,,
2011 Q1,Lakes,Victoria,5.1801085,188.3144737,0,38.6736975,99.53051599,88.78395771,,,,,,,
2011 Q2,Lakes,Victoria,5.2699872,102.2419319,3.3628512,39.8492531,105.5386273,-3.296695407,,,,,,,
2011 Q3,Lakes,Victoria,9.4570243,52.5081609,12.3052084,14.0065152,107.9539096,-55.44574867,,,,,,,
2011 Q4,Lakes,Victoria,7.1085134,105.5413468,3.498836,19.704629,104.4390324,1.10231442,,,,,,,
2012 Q1,Lakes,Victoria,17.5323052,102.7328657,2.0895751,50.5882529,101.5041638,1.228701893,,,,,,,
2012 Q2,Lakes,Victoria,9.7347641,72.7371911,1.619033,45.7279108,104.0407405,-31.30354938,,,,,,,
2012 Q3,Lakes,Victoria,17.0386624,53.1819852,4.2237158,41.724007,106.4537271,-53.27174193,,,,,,,
2012 Q4,Lakes,Victoria,14.3948403,117.2508149,5.1899057,43.35102,102.4638387,14.78697615,,,,,,,
2013 Q1,Lakes,Victoria,12.2039214,189.3601048,1.0016669,41.2602726,95.7374296,93.6226752,,,,,,,
2013 Q2,Lakes,Victoria,7.4448377,99.5003714,1.5640712,24.3507316,98.16558024,1.33479116,,,,,,,
2013 Q3,Lakes,Victoria,13.0992358,48.0198841,5.52783,45.6929155,102.6478331,-54.62794899,,,,,,,
2013 Q4,Lakes,Victoria,15.7799838,101.7181745,2.7063851,35.925288,99.72876229,1.989412213,,,,,,,
2014 Q1,Lakes,Victoria,10.8604164,149.3215209,4.9219557,51.2993423,98.64482075,50.67670015,,,,,,,
2014 Q2,Lakes,Victoria,20.6938635,104.3730417,7.0655241,27.2216781,105.2468168,-0.873775087,,,,,,,
2014 Q3,Lakes,Victoria,10.5485088,50.1557136,20.4236495,32.0510277,107.7582456,-57.60253196,,,,,,,
2014 Q4,Lakes,Victoria,16.3422113,87.4183365,2.0359279,21.2462019,103.8907448,-16.47240829,,,,,,,
2015 Q1,Lakes,Victoria,2.6715154,138.6641915,7.7728891,35.7638744,98.67675629,39.98743521,,,,,,,
2015 Q2,Lakes,Victoria,21.8765657,119.7419537,3.0643462,27.0246298,104.0224472,15.71950647,,,,,,,
2015 Q3,Lakes,Victoria,24.9450725,61.7552847,27.7683397,43.7953413,107.0238458,-45.26856105,,,,,,,
2015 Q4,Lakes,Victoria,10.1436352,86.4737426,0,17.6353722,104.2059271,-17.73218445,,,,,,,
2016 Q1,Lakes,Victoria,19.686171,171.7671317,15.816873,45.9243434,103.967629,67.79950266,,,,,,,
2016 Q2,Lakes,Victoria,12.54526,90.8534168,6.273449,29.1687761,103.938671,-13.08525419,,,,,,,
2016 Q3,Lakes,Victoria,15.1515514,59.2383033,1.7543918,16.699308,108.0758216,-48.83751826,,,,,,,
2016 Q4,Lakes,Victoria,16.3815646,111.1502773,14.8180598,37.8241754,109.7972787,1.35299865,,,,,,,
2017 Q1,Lakes,Victoria,19.7766611,179.6857356,13.3423997,34.9836714,107.1730138,72.51272175,,,,,,,
2017 Q2,Lakes,Victoria,11.3158779,93.0408619,0,91.0467322,105.9161199,-12.87525796,,,,,,,
2017 Q3,Lakes,Victoria,20.6978502,59.449394,6.592708,31.4759822,110.8228793,-51.37348532,,,,,,,
2017 Q4,Lakes,Victoria,8.5912786,145.7470507,8.6875576,26.5496169,113.8665214,31.88052929,,,,,,,
